userid,password,residence_state,high_school_name,high_school_city,high_school_state,GPA,college_class,major_1,major_2,SAT_math,SAT_EBRW,ACT_English,ACT_math,ACT_reading,ACT_science,ACT_composite,SAT_literature,SAT_US_hist,SAT_world_hist,SAT_math_I,SAT_math_II,SAT_eco_bio,SAT_mol_bio,SAT_chemistry,SAT_physics,num_AP_passed
rochellMilurd2837,rochellMilurd2837,NY,West Babylon Senior High School,West Babylon,NY,3.2,2024,Political Science,Computer Science,700,720,27,26,31,30,31,710,690,700,740,690,670,750,760,680,8
marillinJermayne3463,marillinJermayne3463,NY,Bay Shore Senior High School,Bay Shore,NY,1.9,2024,Political Science,Art History,480,440,17,18,17,16,17,440,480,460,470,400,430,460,420,450,6
karlyPrudie2485,karlyPrudie2485,NY,Riverhead Senior High School,Riverhead,NY,2.8,2024,History,Mathematics,720,690,30,27,30,26,26,700,670,720,680,730,670,690,750,720,0
libbyEv1877,libbyEv1877,NY,Bayport Blue Point High School,Bayport,NY,3.3,2024,Biology,Geology,600,620,26,23,33,28,26,620,660,680,620,630,660,600,600,640,6
anna-mariaAdamik2075,anna-mariaAdamik2075,NY,Southampton High School,Southampton,NY,3.4,2024,Political Science,Computer Science,740,780,34,29,34,31,29,760,730,710,760,730,670,760,750,780,3
berthaHarlen9996,berthaHarlen9996,NY,Half Hollow Hills High School East,Dix Hills,NY,2.7,2024,Music Theory,Physics,550,610,21,24,24,23,23,610,560,610,570,610,560,570,580,580,4
linaQuesta8387,linaQuesta8387,NY,Greenport High School,Greenport,NY,3.3,2024,Physics,Computer Science,710,680,33,33,33,28,30,740,680,730,690,690,700,610,730,730,7
papagenaWilek5682,papagenaWilek5682,NY,Wyandanch Memorial High School,Wyandanch,NY,2.4,2024,Computer Science,Political Science,550,560,21,20,20,17,20,510,540,530,560,560,570,600,580,520,8
cybillKellby5534,cybillKellby5534,NY,East Islip High School,Islip Terrace,NY,3.4,2024,Computer Science,Biology,750,760,31,36,36,32,33,760,800,800,770,740,800,730,760,750,0
billCate8491,billCate8491,NY,Half Hollow Hills High School East,Dix Hills,NY,3.1,2024,Art History,Chemistry,620,650,28,23,22,25,23,610,590,600,670,680,670,640,670,670,0
hettyCarver9844,hettyCarver9844,NY,The Stony Brook School,Stony Brook,NY,2.5,2024,Physics,Biology,640,620,29,24,22,22,26,640,630,620,610,640,630,670,630,630,6
alainePaluas555,alainePaluas555,NY,Sachem High School North,Lake Ronkonkoma,NY,3.5,2024,Geology,Music Theory,770,800,31,35,34,29,36,760,730,780,770,780,710,800,730,780,3
linetUrsulina1259,linetUrsulina1259,NY,Sayville High School,West Sayville,NY,3.1,2024,History,Art History,650,680,28,33,23,29,33,700,660,730,660,700,690,670,740,650,0
lacyZailer5552,lacyZailer5552,NY,Greenport High School,Greenport,NY,3.4,2024,Music Theory,Geology,750,760,32,33,32,36,27,790,740,800,800,730,780,750,800,760,8
vivianneBlodgett9396,vivianneBlodgett9396,NY,Connetquot High School,Bohemia,NY,1.9,2024,Biology,Geology,530,490,21,16,15,16,20,490,500,460,490,450,500,430,470,500,7
tarahJapeth1988,tarahJapeth1988,NY,Half Hollow Hills High School East,Dix Hills,NY,2.8,2024,Music Theory,Chemistry,600,650,23,26,23,30,25,650,630,680,660,630,670,680,620,600,7
imojeanMapes50,imojeanMapes50,NY,East Islip High School,Islip Terrace,NY,3.5,2024,Political Science,Biology,670,670,32,29,25,28,25,730,700,740,730,690,710,720,690,700,1
reyAtiana5262,reyAtiana5262,NY,William Floyd High School,Mastic Beach,NY,3.1,2024,Physics,Biology,690,670,30,31,32,24,27,660,630,630,700,630,650,650,580,710,8
ashienBlondell7233,ashienBlondell7233,NY,Half Hollow Hills High School East,Dix Hills,NY,2.8,2024,Political Science,Geology,550,590,22,25,27,23,19,670,660,600,570,590,610,560,620,600,3
aundreaArmilla7018,aundreaArmilla7018,NY,Smithtown High School   Western Campus,Smithtown,NY,2.2,2024,History,Music Theory,470,470,15,16,16,17,20,490,430,480,460,490,500,460,450,450,9
doralynKreit6970,doralynKreit6970,NY,Eastport South Manor Junior Senior High School,Manorville,NY,3.4,2024,Computer Science,Physics,750,730,31,30,31,24,28,730,750,720,690,750,700,740,730,760,1
glenineFriedrich164,glenineFriedrich164,NY,Huntington High School,Huntington,NY,2.8,2024,History,Physics,580,540,22,26,28,23,17,560,590,590,560,630,570,600,570,620,7
paolaLoseff3134,paolaLoseff3134,NY,East Islip High School,Islip Terrace,NY,3.1,2024,Physics,Political Science,760,680,34,30,28,28,30,720,680,730,690,700,640,630,650,630,0
melodieBenoit8556,melodieBenoit8556,NY,Walt Whitman High School,Huntington Station,NY,3.4,2024,Biology,Computer Science,750,720,29,27,35,31,33,740,720,710,710,740,800,700,750,790,0
ofeliaMaurise5131,ofeliaMaurise5131,NY,Wyandanch Memorial High School,Wyandanch,NY,2.9,2024,Biology,Art History,630,620,20,30,28,24,24,630,670,670,590,580,660,620,660,600,9
rosAmandi2775,rosAmandi2775,NY,Centereach High School,Centereach,NY,2.7,2024,Physics,Music Theory,670,600,20,21,31,30,25,590,590,590,650,600,640,640,630,640,3
tashaSchnorr5897,tashaSchnorr5897,NY,Central Islip Senior High School,Central Islip,NY,1.8,2024,Geology,History,460,440,17,19,20,17,24,450,400,420,470,360,430,420,420,450,9
karilCargian9649,karilCargian9649,NY,Bayport Blue Point High School,Bayport,NY,2.3,2024,Physics,Music Theory,470,470,17,18,17,14,16,560,420,430,440,420,480,450,460,460,0
othilieBoswall4575,othilieBoswall4575,NY,Sachem High School East,Farmingville,NY,2.5,2024,Geology,Chemistry,590,580,23,25,23,19,23,600,580,580,600,600,630,620,630,590,6
celestaShurlocke6858,celestaShurlocke6858,NY,Lindenhurst Senior High School,Lindenhurst,NY,2.0,2024,Mathematics,Political Science,450,450,20,17,21,15,15,440,410,440,470,470,490,480,480,460,4
phaidraAlisan6165,phaidraAlisan6165,NY,Half Hollow Hills High School West,Dix Hills,NY,3.0,2024,Political Science,Computer Science,730,660,30,30,31,25,32,660,670,700,700,700,640,640,650,640,0
wynnyKaden7667,wynnyKaden7667,NY,Southampton High School,Southampton,NY,2.9,2024,Mathematics,Music Theory,590,560,20,17,22,19,27,530,530,550,570,500,470,510,510,490,2
daniJeminah7597,daniJeminah7597,NY,Mount Sinai High School,Mount Sinai,NY,2.0,2024,History,Political Science,430,410,16,19,18,15,21,390,410,430,340,400,380,470,420,390,2
lynnetJanelle1739,lynnetJanelle1739,NY,North Babylon High School,North Babylon,NY,2.8,2024,Geology,History,680,700,25,29,30,31,30,650,600,690,680,630,670,650,670,670,8
carrollFidela9758,carrollFidela9758,NY,Hauppauge High School,Hauppauge,NY,3.5,2024,Music Theory,Art History,750,760,35,27,34,35,34,800,730,790,770,790,760,720,800,800,8
hestiaHootman4954,hestiaHootman4954,NY,The Knox School,St James,NY,2.7,2024,History,Mathematics,660,640,27,26,23,21,23,610,600,600,660,610,650,600,670,660,4
theodoraVirge600,theodoraVirge600,NY,Comsewogue High School,Port Jefferson Sta,NY,2.8,2024,Art History,Computer Science,680,660,28,27,31,27,25,660,700,670,670,610,630,650,660,710,3
arabeleCelina5530,arabeleCelina5530,NY,East Hampton High School,East Hampton,NY,3.0,2024,Mathematics,Geology,670,720,27,29,27,27,29,730,660,710,720,710,710,680,730,670,8
kayceeCon1205,kayceeCon1205,NY,North Babylon High School,North Babylon,NY,2.9,2024,Music Theory,Mathematics,650,650,30,33,26,28,26,670,580,610,650,640,600,650,660,640,4
adianaDarcie4373,adianaDarcie4373,NY,John H Glenn High School,Elwood,NY,2.3,2024,History,Mathematics,550,490,23,19,21,23,19,580,560,570,530,560,560,500,570,550,3
herthaAgnola1398,herthaAgnola1398,NY,Pierson Middle High School,Sag Harbor,NY,3.6,2024,Music Theory,Physics,770,760,29,34,32,29,35,790,770,700,770,750,770,770,790,730,7
cordulaMarston2866,cordulaMarston2866,NY,Wyandanch Memorial High School,Wyandanch,NY,3.0,2024,Biology,Chemistry,700,680,27,27,26,28,29,710,710,680,670,680,690,680,730,680,5
goldiBerkly8784,goldiBerkly8784,NY,Westhampton Beach Senior High School,Westhampton Beach,NY,3.2,2024,Music Theory,Computer Science,800,800,32,32,36,36,35,760,780,740,800,740,750,800,780,800,8
annySwor1809,annySwor1809,NY,East Hampton High School,East Hampton,NY,2.4,2024,Biology,History,500,490,24,18,20,19,21,490,470,530,510,520,500,490,530,480,9
delaAntipus4828,delaAntipus4828,NY,Rocky Point High School,Rocky Point,NY,3.4,2024,Geology,Biology,710,740,35,31,27,31,25,710,760,700,700,710,770,690,640,750,7
araNewcomer9428,araNewcomer9428,NY,St John the Baptist Diocesan High School,West Islip,NY,3.4,2024,Geology,Political Science,730,710,30,28,31,30,25,700,710,710,670,720,690,700,700,710,8
loellaOwena2287,loellaOwena2287,NY,Riverhead Senior High School,Riverhead,NY,2.8,2024,Physics,Chemistry,520,570,20,24,22,21,22,470,560,560,570,530,520,600,580,570,0
doretteAngadresma2572,doretteAngadresma2572,NY,Smithtown High School   Western Campus,Smithtown,NY,3.0,2024,Physics,Political Science,690,640,29,30,28,32,24,660,650,600,700,650,620,630,610,580,0
philisNicole8885,philisNicole8885,NY,Bay Shore Senior High School,Bay Shore,NY,2.5,2024,Chemistry,Political Science,590,590,22,23,18,19,20,530,570,520,500,540,530,560,500,540,2
innaBurns8217,innaBurns8217,NY,Riverhead Senior High School,Riverhead,NY,3.1,2024,Biology,Chemistry,670,670,33,28,30,26,28,680,660,660,710,710,730,710,720,740,2
margeKassi9803,margeKassi9803,NY,North Babylon High School,North Babylon,NY,1.6,2024,Chemistry,Art History,360,420,15,13,14,15,14,400,450,390,300,310,410,390,430,450,6
melonyLeda7042,melonyLeda7042,NY,Smithtown High School East,Saint James,NY,3.1,2024,Biology,History,730,750,27,33,30,34,32,740,690,680,700,750,680,700,640,740,2
adriannaAngelita3020,adriannaAngelita3020,NY,Hauppauge High School,Hauppauge,NY,3.3,2024,Art History,Political Science,610,610,25,26,21,25,24,590,620,620,640,640,610,650,610,660,7
shirleyBosch3562,shirleyBosch3562,NY,Westhampton Beach Senior High School,Westhampton Beach,NY,3.1,2024,Geology,Music Theory,650,650,21,25,32,25,25,630,670,680,610,620,690,640,680,700,3
mandyPlacidia2809,mandyPlacidia2809,NY,Smithtown High School   Western Campus,Smithtown,NY,3.2,2024,Mathematics,Chemistry,750,760,35,36,27,29,36,710,750,720,730,790,700,790,750,750,2
lonnaCarothers2731,lonnaCarothers2731,NY,Ward Melville Senior High School,East Setauket,NY,2.6,2024,Physics,Music Theory,690,650,24,29,23,29,28,740,690,720,680,690,710,640,620,660,6
leilahLonne1890,leilahLonne1890,NY,Sachem High School East,Farmingville,NY,1.8,2024,Music Theory,Art History,580,520,26,19,20,17,14,540,480,530,470,520,510,490,510,560,5
mignonField9043,mignonField9043,NY,Islip High School,Islip,NY,2.4,2024,Art History,Geology,640,650,26,29,22,29,28,620,650,660,630,640,680,610,600,640,0
ryannJoceline8193,ryannJoceline8193,NY,Southampton High School,Southampton,NY,2.5,2024,Biology,Music Theory,540,550,23,27,24,29,22,600,630,580,600,610,620,570,580,590,9
lorenaPrudie292,lorenaPrudie292,NY,Smithtown High School   Western Campus,Smithtown,NY,3.0,2024,Chemistry,Physics,680,700,34,29,33,32,32,740,700,740,760,730,680,740,700,700,8
valeriaHinckley4651,valeriaHinckley4651,NY,Lindenhurst Senior High School,Lindenhurst,NY,2.7,2024,Chemistry,Mathematics,660,660,29,26,23,22,29,690,630,670,620,680,670,690,650,640,0
johnetteHospers9280,johnetteHospers9280,NY,Ross School,East Hampton,NY,2.5,2024,History,Computer Science,550,530,22,22,24,20,17,570,500,530,570,530,490,480,500,510,5
nydiaArquit3442,nydiaArquit3442,NY,Smithtown High School   Western Campus,Smithtown,NY,2.2,2024,History,Biology,510,540,20,16,17,21,16,500,490,490,490,460,530,520,480,500,0
karalynnJoe7400,karalynnJoe7400,NY,Harborfields High School,Greenlawn,NY,3.0,2024,Physics,History,570,570,28,24,27,28,27,650,610,640,620,580,620,590,650,630,9
gayelYseulta5853,gayelYseulta5853,NY,Lindenhurst Senior High School,Lindenhurst,NY,2.4,2024,Computer Science,Biology,490,600,21,19,24,22,21,550,560,490,530,570,520,490,590,530,8
odeliaBrennen3968,odeliaBrennen3968,NY,Half Hollow Hills High School East,Dix Hills,NY,2.6,2024,History,Biology,640,600,20,26,24,27,24,650,600,680,600,620,580,650,590,640,0
anna-dianePrevidi5045,anna-dianePrevidi5045,NY,West Islip Senior High School,West Islip,NY,2.4,2024,Physics,Art History,560,500,16,15,19,21,21,520,510,530,550,530,580,510,530,510,4
karmenCarilyn2665,karmenCarilyn2665,NY,Sayville High School,West Sayville,NY,3.3,2024,History,Political Science,660,680,32,30,23,27,29,660,700,720,720,640,660,690,700,710,3
gavrielleEppie4600,gavrielleEppie4600,NY,Greenport High School,Greenport,NY,1.6,2024,Geology,Chemistry,390,400,20,11,12,14,13,420,470,410,390,410,440,350,390,430,1
paulettaArchibald8864,paulettaArchibald8864,NY,Commack High School,Commack,NY,3.1,2024,Physics,Political Science,710,580,30,28,25,26,25,630,670,710,620,640,660,690,630,670,5
tobyeCharie401,tobyeCharie401,NY,Pierson Middle High School,Sag Harbor,NY,2.2,2024,Mathematics,Biology,550,560,22,26,18,25,22,590,540,570,570,570,600,550,630,560,2
keriannBruning7944,keriannBruning7944,NY,Ross School,East Hampton,NY,3.0,2024,Physics,Computer Science,710,760,33,31,34,29,35,700,760,720,800,740,740,760,760,770,2
janineMandie3206,janineMandie3206,NY,West Babylon Senior High School,West Babylon,NY,2.1,2024,Geology,History,500,440,22,14,21,20,16,530,440,460,500,470,460,490,500,530,9
elyshaSchulze9017,elyshaSchulze9017,NY,Sachem High School East,Farmingville,NY,3.0,2024,Geology,History,670,660,20,29,26,24,27,650,700,630,650,610,700,660,680,640,9
gilberteRoscoe4331,gilberteRoscoe4331,NY,North Babylon High School,North Babylon,NY,2.6,2024,Art History,Geology,590,690,25,23,26,20,26,590,660,630,620,660,630,630,610,610,4
hailyBerthold9491,hailyBerthold9491,NY,Huntington High School,Huntington,NY,2.5,2024,Chemistry,Mathematics,560,570,24,24,23,22,23,620,520,590,520,530,490,590,570,540,4
lexyChuch3736,lexyChuch3736,NY,Smithtown High School   Western Campus,Smithtown,NY,2.5,2024,Physics,Geology,630,650,27,23,21,22,29,620,630,620,670,700,650,560,610,610,1
elisabethSachiko8722,elisabethSachiko8722,NY,William Floyd High School,Mastic Beach,NY,2.7,2024,History,Geology,490,520,19,23,21,18,18,450,510,460,490,550,470,530,560,530,4
emmalineMalet6653,emmalineMalet6653,NY,East Islip High School,Islip Terrace,NY,1.7,2024,Music Theory,Computer Science,340,380,13,14,11,13,16,320,340,350,350,360,370,340,370,380,5
astraBenetta3132,astraBenetta3132,NY,Commack High School,Commack,NY,2.5,2024,Art History,Physics,630,670,28,24,23,28,28,650,610,620,670,600,680,620,630,640,9
charmaneTrula6006,charmaneTrula6006,NY,Walter G Oconnell Copiague High School,Copiague,NY,2.6,2024,Biology,Geology,620,640,26,26,26,29,25,710,580,660,630,650,630,650,630,620,0
leonoreAllana7537,leonoreAllana7537,NY,North Babylon High School,North Babylon,NY,2.7,2024,Computer Science,Chemistry,570,560,18,23,17,20,24,590,590,560,590,580,530,590,570,590,4
ednaDarla3613,ednaDarla3613,NY,William Floyd High School,Mastic Beach,NY,2.8,2024,Geology,Computer Science,700,680,25,28,27,27,24,690,620,660,660,660,660,660,670,710,7
mallorieCarpenter3369,mallorieCarpenter3369,NY,Hauppauge High School,Hauppauge,NY,2.7,2024,Biology,Computer Science,670,660,25,25,24,29,25,690,670,630,680,670,720,700,650,670,3
janayeScrope8279,janayeScrope8279,NY,Smithtown High School   Western Campus,Smithtown,NY,2.5,2024,History,Computer Science,510,450,20,16,13,23,17,520,470,470,440,440,460,440,460,490,5
